100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100402000107,平成29年度補正,3,75
100402000107,平成30年度補正,1,33
100402000107,令和元年度補正,0,0
100402000107,令和２年度補正,1,100
100202001501,平成30年度補正,0,0
100513015802,平成30年度補正,0,0
100513015802,平成30年度補正,0,0
105213019827,平成30年度補正,0,0
104703000202,平成29年度補正,1,100
100203000913,平成29年度補正,0,0
105303000220,平成30年度補正,1,100
105303000220,令和元年度補正,1,100
105303000220,令和２年度補正,1,100
101703000108,平成29年度補正,1,100
101703000108,令和２年度補正,1,100
101703000108,平成29年度補正,1,100
101703000108,令和２年度補正,1,100
101703000108,平成29年度補正,1,100
101703000108,令和２年度補正,1,100
101703000108,平成29年度補正,1,100
101703000108,令和２年度補正,1,100
100103001213,平成29年度補正,2,100
100113032927,平成29年度補正,3,27
100113032927,平成30年度補正,0,0
100113032927,令和元年度補正,2,100
100103001313,平成29年度補正,1,50
100103001313,平成30年度補正,0,0
100103001413,平成30年度補正,0,0
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
100303000607,令和元年度補正,6,86
100303000607,令和２年度補正,2,100
100303000607,平成29年度補正,5,100
100303000607,平成30年度補正,3,75
